References	Qty	Description	Digikey	Mouser	RS	Newark	Farnell
C1	1		399-14791-1-ND	80EDK476M016A9DAA			2068652
C2, C6	2		1276-1832-1-ND	605500R15N4R7CV4T			1800809
C3	1		1276-2450-1-ND	80C0805C104M5R			2520754
C4, C7	2		1276-1107-1-ND	77VJ0805A180JXAMC			1759194
C5	1		1276-2633-1-ND	77VJ0805A2R7CXAPBC			2821234
C8, C12	2		311-1857-1-ND	710885342207010			1650861
C9, C10	2		478-11394-1-ND	58108055C270KAT2A			2905646
C11	1		1292-1556-1-ND	710885012207086			2496932
D1	1		1655-1958-1-ND	78MBL108SM3/I			1857473
J1	1		CP-002A-ND	PJ002A			2524130
J2, J3, J4	3		J917-ND	5301424701801			2340523
JP1, JP2	2		952-2262-ND	855M209990246			1022247
L1, L5	2		445-16544-1-ND	810NLV32T068JEF			2747863
L2, L4	2		445-16528-1-ND	810NLV32T015JEF			2747847
L3	1		AISM-1210-R10M-TCT-ND	815AISM1210R10M			1711922
L6, L9	2		445-16536-1-ND	810NLV32T033JEF			2747855
L7, L10	2		587-3082-1-ND	963LB3218T1R5M			1839579
L8	1		445-16532-1-ND	810NLV32T022JEF			2747851
